Identificador Usuario,Tipo Suscripción,Ingresos Mensuales,Día Suscripción,Mes Suscripción,Año Suscripción,Día Último Pago,Mes Último Pago,Año Último Pago,País,Edad,Género,Dispositivo,Duración Plan
566,Premium,14,11,10,23,01,07,24,Alemania,45,Masculino,Tablet,3 Meses
628,Estándar,12,09,10,23,01,07,24,Francia,42,Masculino,Smartphone,6 Meses
632,Básica,10,23,09,23,01,07,24,Francia,39,Masculino,Smartphone,6 Meses
636,Premium,14,28,10,23,01,07,24,EEUU,33,Femenino,Smart TV,1 Mes
638,Estándar,12,16,11,23,01,07,24,EEUU,38,Masculino,Tablet,3 Meses
642,Básica,10,19,11,23,01,07,24,Australia,27,Masculino,Ordenador,1 Mes
694,Premium,14,17,09,23,01,07,24,Canadá,46,Masculino,Smart TV,6 Meses
696,Premium,14,29,09,23,01,07,24,Italia,31,Masculino,Tablet,1 Mes
698,Estándar,12,12,10,23,02,07,24,Alemania,28,Masculino,Ordenador,1 Mes
702,Básica,10,25,09,23,01,07,24,Italia,36,Masculino,Smartphone,6 Meses
704,Premium,14,30,09,23,01,07,24,Francia,27,Femenino,Tablet,12 Meses
706,Premium,14,24,10,23,01,07,24,Méjico,46,Femenino,Smartphone,1 Mes
708,Estándar,12,02,11,23,01,07,24,Méjico,39,Masculino,Ordenador,1 Mes
712,Básica,10,08,11,23,01,07,24,Alemania,45,Masculino,Tablet,3 Meses
738,Estándar,12,26,06,23,01,07,24,Australia,44,Femenino,Smartphone,1 Mes
760,Premium,14,04,09,23,01,07,24,Reino Unido,40,Femenino,Smartphone,1 Mes
762,Premium,14,01,09,23,02,07,24,Italia,48,Masculino,Ordenador,12 Meses
764,Básica,10,18,09,23,03,07,24,España,28,Masculino,Smart TV,1 Mes
766,Premium,14,30,09,23,01,07,24,EEUU,43,Masculino,Smartphone,1 Mes
768,Estándar,12,08,10,23,02,07,24,Australia,38,Femenino,Ordenador,1 Mes
770,Básica,10,03,10,23,01,07,24,Alemania,42,Femenino,Ordenador,6 Meses
772,Básica,10,02,10,23,01,07,24,Italia,48,Masculino,Ordenador,1 Mes
774,Estándar,12,03,10,23,02,07,24,,49,Masculino,Smartphone,12 Meses
776,Premium,14,21,10,23,01,07,24,Italia,44,Masculino,Ordenador,1 Mes
778,Estándar,12,03,11,23,01,07,24,Australia,33,Masculino,Tablet,12 Meses
782,Básica,10,02,11,23,01,07,24,,44,Femenino,Ordenador,6 Meses
795,Básica,10,03,08,23,01,07,24,Brasil,47,Masculino,Smartphone,3 Meses
796,Premium,14,04,08,23,01,07,24,,27,Masculino,Smart TV,1 Mes
803,Estándar,12,19,06,23,01,07,24,EEUU,43,Masculino,Smart TV,3 Meses
804,Estándar,12,22,07,24,02,07,24,Canadá,47,Femenino,Smartphone,6 Meses
808,Estándar,12,25,06,23,01,07,24,Canadá,39,Masculino,Smart TV,1 Mes
812,Básica,10,11,06,23,01,07,24,Francia,33,Masculino,Ordenador,1 Mes
819,Premium,14,01,07,23,01,07,24,EEUU,50,Masculino,Ordenador,1 Mes
826,Básica,10,18,08,23,01,07,24,España,37,Masculino,Smart TV,1 Mes
830,Básica,10,02,09,23,03,07,24,EEUU,30,Femenino,Smartphone,12 Meses
832,Estándar,12,15,09,23,02,07,24,Canadá,40,Femenino,Tablet,3 Meses
834,Estándar,12,26,09,23,03,07,24,Australia,34,Femenino,Smart TV,3 Meses
836,Básica,10,04,10,23,01,07,24,Canadá,28,Masculino,Ordenador,1 Mes
838,Estándar,12,07,10,23,02,07,24,Francia,38,Masculino,Smartphone,1 Mes
840,Estándar,12,07,10,23,03,07,24,Australia,49,Masculino,Smartphone,3 Meses
842,Básica,10,06,10,23,02,07,24,Italia,37,Femenino,Ordenador,3 Meses
843,Estándar,12,04,10,23,01,07,24,Brasil,39,Femenino,Smartphone,6 Meses
844,Premium,14,14,10,23,02,07,24,Italia,47,Femenino,Smart TV,1 Mes
846,Premium,14,21,10,23,01,07,24,España,35,Masculino,Ordenador,1 Mes
848,Estándar,12,01,11,23,02,07,24,Reino Unido,40,Masculino,Tablet,1 Mes
852,Básica,10,08,11,23,01,07,24,Brasil,47,Femenino,Ordenador,12 Meses
855,Básica,10,02,11,23,01,07,24,EEUU,33,Masculino,Ordenador,1 Mes
860,Básica,10,26,08,23,01,07,24,EEUU,50,Masculino,Smart TV,6 Meses
861,Premium,14,14,08,23,01,07,24,Alemania,50,Femenino,Smart TV,3 Meses
862,Básica,10,12,08,23,01,07,24,Alemania,47,Masculino,Smartphone,1 Mes
864,Premium,14,10,08,23,01,07,24,Australia,31,Masculino,Tablet,1 Mes
865,Básica,10,04,08,23,01,07,24,Francia,36,Masculino,Smartphone,12 Meses
866,Premium,14,05,08,23,01,07,24,Reino Unido,41,Femenino,Smart TV,1 Mes
868,Estándar,12,16,07,23,01,07,24,España,34,Femenino,Tablet,6 Meses
869,Estándar,12,13,07,23,01,07,24,EEUU,30,Femenino,Tablet,3 Meses
870,Básica,10,03,07,23,02,07,24,Reino Unido,38,Masculino,Ordenador,6 Meses
872,Básica,10,21,06,23,01,07,24,Australia,42,Femenino,Ordenador,3 Meses
873,Estándar,12,22,06,23,01,07,24,Francia,42,Femenino,Smart TV,12 Meses
874,Premium,14,23,06,23,02,07,24,Australia,31,Masculino,Smart TV,6 Meses
877,Básica,10,28,06,23,01,07,24,España,30,Masculino,Smart TV,1 Mes
878,Estándar,12,28,06,23,02,07,24,Australia,33,Masculino,Smartphone,3 Meses
881,Premium,14,11,06,23,01,07,24,EEUU,31,Femenino,Smartphone,6 Meses
882,Básica,10,12,06,23,01,07,24,Australia,46,Femenino,Smart TV,1 Mes
885,Básica,10,18,06,23,02,07,24,Reino Unido,34,Masculino,Tablet,12 Meses
