brand,title,type,price,available,sold,total_amount,genre,lastUpdate,country,state,city
Versace,Christian Dior Sauvage Men's EDP 3.4 oz Fragrance Spray,Eau de Parfum,84.99,10.0,116.0,9858.84,man,24-5-2024,United States,Michigan,Allen Park
Carolina Herrera,A-v-entus Eau de Parfum 3.3 oz 100ML Millesime EDP Col-ogne for Men New In Box,Eau de Parfum,109.99,8.0,48.0,5279.52,man,23-5-2024,Canada,Georgia,Atlanta
Unbranded,HOGO BOSS cologne For Men 3.4 oz,Eau de Toilette,100.0,10.0,27.0,2700.0,man,22-5-2024,United States,Michigan,Dearborn
Giorgio Armani,Acqua Di Gio by Giorgio Armani 6.7 Fl oz Eau De Toilette Spray Men' New & Sealed,Eau de Toilette,44.99,2.0,159.0,7153.41,man,24-5-2024,United States,Pennsylvania,Reinholds
Yves Saint Laurent,Men's Perfume Sampler 10pcs Sample Vials Designer Fragrance Samples for Men,Eau de Parfum,14.99,10.0,79.0,1184.21,man,23-5-2024,United States,Texas,Houston
Lancôme,Glacier Bold by Maison Alhambra 3.4oz EDP for Men NEW SEALED CAN,Eau de Parfum,30.99,9.0,39.0,1208.61,man,16-5-2024,United States,New Jersey,Englewood Cliffs
Dolce & Gabbana,"Gucci Guilty for Him - Classic 3oz Eau de Toilette Spray, Brand New",Eau de Parfum,49.99,8.0,68.0,3399.32,man,23-5-2024,United States,Michigan,Dearborn Heights
Ralph Lauren,Polo Blue by Ralph Lauren 4.2 oz EDT Cologne for Men Brand New In Box,Eau de Toilette,34.99,10.0,615.0,21518.85,man,24-5-2024,United States,Michigan,Ecorse
Dolce & Gabbana,Dolce & Gabbana Light Blue Men 4.2 oz / 125 mL EDT Spray Brand New & Sealed,Eau de Toilette,29.95,7.0,458.0,13717.1,man,23-5-2024,United States,Michigan,Warren
Versace,New 2024 Sexy Cologne Cupid Hypnosis Long Lasting Pheromone Perfume for Men,Eau de Parfum,15.99,10.0,889.0,14215.11,man,21-5-2024,United States,California,San Francisco
Versace,Eau Fraiche By Versace 3.4 oz 100 ml Eau de Toilette Brand New Sealed In Box,Eau de Toilette,34.99,7.0,136.0,4758.64,man,24-5-2024,United States,Michigan,Warren
Paco Rabanne,1 Million by Paco Rabanne 3.4 Fl oz / 100 ml PARFUM Spray Men's New & Sealed,Eau de Parfum,68.99,2.0,20.0,1379.8,man,24-5-2024,United States,California,San Jose
Ralph Lauren,Tribal Intense by Grandeur - Eau de Parfum for Men -100ml (3.4oz),Eau de Parfum,37.99,10.0,44.0,1671.56,man,24-5-2024,United States,Florida,Miami
Dolce & Gabbana,Club de Nuit Intense by Armaf 3.6 oz EDT Cologne for Men New In Box & Sealed,Eau de Toilette,29.99,5.0,384.0,11516.16,man,24-5-2024,United States,Michigan,Hamtramck
Carolina Herrera,Carolina Herrera 212 NYC Men's Cologne EDT 3.4oz 100ml New Sealed,Eau de Toilette,39.99,10.0,236.0,9437.64,man,23-5-2024,United States,Kentucky,Flat Lick
Versace,Dior Sauvage Eau de Toilette 3.4 Oz 100ml Brand New Sealed Free shipping,Eau de Toilette,83.95,4.0,22.0,1846.9,man,22-5-2024,United States,New York,Elmhurst
Lancôme,CLINIQUE HAPPY Pour Homme Cologne edt for Men 3.4 oz 3.3 NEW in Box,Eau de Toilette,21.99,4.0,86.0,1891.14,man,21-5-2024,United States,Florida,Miami
Ralph Lauren,Dumont Men's Nitro Red EDP Spray 3.4 oz Fragrances 3760060761880,Fragrances,49.99,3.0,187.0,9348.13,man,24-5-2024,United States,New York,Brooklyn
Lancôme,Turathi Blue by Afnan for men EDP 3oz New in Sealed Box,Eau de Parfum,33.7,10.0,131.0,4414.7,man,21-5-2024,United States,Texas,Dallas
Versace,Versace Eros by Gianni Versace 3.4oz EDT Cologne for Men 100ml New in Box,Eau de Toilette,35.99,2.0,43.0,1547.57,man,24-5-2024,United States,California,Pomona
Carolina Herrera,Azzaro The Most Wanted 3.3 oz./100 ml. PARFUM Spray for Men. New in Sealed Box,Eau de Parfum,89.97,10.0,920.0,82772.4,man,24-5-2024,United States,Texas,Katy
Unbranded,USA Parfums de Marly Layton Royal Essence 4.2 oz. Men's Eau de Parfum,Eau de Parfum,92.99,5.0,19.0,1766.81,man,24-5-2024,United States,New York,College Point
Dolce & Gabbana,Bharara Double Bleu Pour Homme By Bharara 3.4/3.3 oz Edp Spray For Men NEW,Eau de Parfum,51.91,4.0,47.0,2439.77,man,19-5-2024,United States,New York,Richmond Hill
