brand,title,type,price,available,sold,total_amount,genre,lastUpdate,country,state,city
Carolina Herrera,Good Girl by Carolina Herrera 2.7 oz Eau De Parfum Spray Women's New & Sealed,Eau de Parfum,43.99,2.0,393.0,17288.07,woman,23-5-2024,United States,Alabama,Thomasville
Dolce & Gabbana,PRADA Paradoxe by Prada EDP 3.0oz/90ml Spray Perfume for Women New In Box,Eau de Parfum,59.99,10.0,35.0,2099.65,woman,14-5-2024,United States,New Jersey,Orange
Paco Rabanne,J'adore Parfum D'eau by Christian 3.4 oz EDP Fragrance for Women New In Box,Eau de Parfum,59.99,10.0,9.0,539.91,woman,23-5-2024,Hong Kong,New Jersey,USA
Paco Rabanne,Flowerbomb by Viktor & Rolf 3.4 oz 100ML Eau De Parfum Brand New Sealed In Box,Eau de Parfum,51.99,8.0,184.0,9566.16,woman,23-5-2024,United States,Michigan,Warren
Versace,Versace Bright Crystal Women EDT 6.7 oz 200 ml New Sealed in Box,Eau de Toilette,52.79,6.0,258.0,13619.82,woman,21-5-2024,United States,Michigan,Dexter
Paco Rabanne,Fakhar by Lattafa Eau de Parfum 3.4 oz / 100 ml Spray for Men,Eau de Parfum,22.75,10.0,174.0,3958.5,woman,24-5-2024,United States,New York,New York
Yves Saint Laurent,Yves Saint Laurent Black Opium 3oz Eau de Parfum Women's New Sealed,Eau de Parfum,39.99,10.0,77.0,3079.23,woman,24-5-2024,United States,Michigan,Ecorse
Dolce & Gabbana,Gucci Bloom 3.3oz / 3.4oz Eau de Parfum Women's Fragrance New Sealed,Eau de Parfum,64.99,10.0,35.0,2274.65,woman,24-5-2024,United States,Michigan,Ecorse
Carolina Herrera,Very Good Girl GLAM by Carolina Herrera 2.7 oz Eau de parfum Spray New & Sealed,Eau de Parfum,60.99,2.0,51.0,3110.49,woman,23-5-2024,United States,Texas,Quinlan
Carolina Herrera,Good Girl by Carolina Herrera 2.7 fl oz Spray Eau De Parfum New & Sealed,Eau de Parfum,43.49,2.0,20.0,869.8,woman,22-5-2024,United States,Ohio,Cincinnati
Paco Rabanne,Coach Floral 3.0 oz EDP eau de parfum spray womens perfume 90ml Tester,Eau de Parfum,29.2,10.0,505.0,14746.0,woman,08-5-2024,United States,New Jersey,Edison
Giorgio Armani,Guerlain NEROLI OUTRENOIR Eau de Parfum 2ml /.06oz Sample Spray NIB,Eau de Parfum,13.0,10.0,94.0,1222.0,woman,24-5-2024,United States,New York,New York
Ralph Lauren,"Amazing Grace by Philosophy, 4 oz EDP Intense Spray for Women",Eau de Parfum,39.69,10.0,234.0,9287.46,woman,24-5-2024,United States,New Jersey,Edison
Dolce & Gabbana,D&G DOLCE & GABBANA LIGHT BLUE EAU INTENSE WOMEN 1.5ml .05oz x 5 PERFUME SAMPLES,Eau de Parfum,11.0,10.0,1613.0,17743.0,woman,05-4-2024,United States,New York,Albany
Dolce & Gabbana,Oxytocin-N 15iu Per Spray 1oz (30ml),Eau de Parfum,27.0,10.0,218.0,5886.0,woman,20-3-2024,United States,Oklahoma,Oklahoma City
Carolina Herrera,Carolina Herrera Good Girl 2.7 oz EDP Feminine & Empowering New,Eau de Parfum,49.99,6.0,183.0,9148.17,woman,23-5-2024,United States,Michigan,Macomb
Yves Saint Laurent,Mon Paris 3 oz Perfume by Yves Saint Laurent 90 ml Womens Spray EDP New & Sealed,Eau de Parfum,39.99,8.0,126.0,5038.74,woman,24-5-2024,United States,Michigan,Farmington
Calvin Klein,Davidoff Cool Water Sea Rose Eau De Toilette Spray For Her 100 Ml NEW IN BOX,Eau de Toilette,22.9,10.0,291.0,6663.9,woman,08-5-2024,United States,New Jersey,Princeton Junction
Paco Rabanne,Viktor Rolf Flowerbomb 3.4 oz L'Eau De Parfum Spray New Factory Sealed in Box,Eau de Parfum,42.0,4.0,406.0,17052.0,woman,23-5-2024,United States,Oregon,Portland
Giorgio Armani,Sì Passione by Giorgio Armani For Women 3.4 Oz Eau De Parfum Spray New in Box,Eau de Parfum,44.88,7.0,147.0,6597.36,woman,20-5-2024,United States,California,South El Monte
Dolce & Gabbana,Prada Les infusions De Milano Iris Cedre for Women 3.4oz/100ml EDP Spray In Box,Eau de Parfum,66.99,10.0,3.0,200.97,woman,23-5-2024,United States,New Jersey,Perth Amboy
Carolina Herrera,Marc Jacobs Daisy Eau So Fresh 4.2 oz / 125 mL Eau De Toilette Brand New Sealed,Eau de Toilette,32.95,10.0,68.0,2240.6,woman,17-5-2024,United States,New York,College Point
Unbranded,Cloud by Ariana Grande 3.4 oz / 100 ML EDP Perfume for Women New In Box Sealed,Eau de Parfum,31.05,9.0,54.0,1676.7,woman,23-5-2024,United States,Michigan,Detroit
Versace,Versace Dylan Turquoise by Gianni Versace for women EDT 3.3 / 3.4 oz New Tester,Eau de Toilette,32.2,60.0,157.0,5055.4,woman,17-5-2024,United States,Texas,Dallas
Giorgio Armani,Sol de Janeiro Mini Brazilian Crush Body Fragrance Mist 3.04 oz/ 90 mL,Fragrances,17.9,10.0,4.0,71.6,woman,21-5-2024,United States,Texas,Round Rock
Versace,Love by Kilian Don't Be Shy Eau de Parfum 7.5 ml/0.25 fl. oz. Free Shipping …,Eau de Parfum,29.75,9.0,80.0,2380.0,woman,24-5-2024,United States,Oklahoma,Tulsa
Calvin Klein,Donna Karan CASHMERE MIST Deodorant-Anti-Perspirant Stick 1 OZ / 30mL NEW,Eau de Parfum,19.99,10.0,441.0,8815.59,woman,20-5-2024,United States,New Jersey,Elizabeth
Carolina Herrera,Carolina Herrera Good Girl 2.7 oz Eau De Parfum Spray Women's New & Sealed,Eau de Parfum,43.99,2.0,16.0,703.84,woman,24-5-2024,United States,California,San Jose
Carolina Herrera,Very Good Girl GLAM by Carolina Herrera 2.7 oz EDP Spray Women's New & Sealed.,Eau de Parfum,59.99,2.0,21.0,1259.79,woman,22-5-2024,United States,Ohio,Cincinnati
Carolina Herrera,Marc Jacobs Daisy Women's Eau De Toilette Spray For Women EDT 3.4Oz 100ml New,Eau de Toilette,42.88,10.0,71.0,3044.48,woman,19-5-2024,United States,New York,College Point
Calvin Klein,Juliette Has A Gun Discovery Kit includes LUST for sun SEALED new,Eau de Parfum,26.05,10.0,128.0,3334.4,woman,19-5-2024,United States,Florida,Winter Garden
Carolina Herrera,"Carolina Herrera's Good Girl 2.7 Oz – Women's EDP, New in Sealed Box",Eau de Parfum,49.99,6.0,179.0,8948.21,woman,21-5-2024,United States,Michigan,Dearborn
Paco Rabanne,FLOWERBOMB BY VIKTOR & ROLF 3.4 OZ SPRAY EAU DE PARFUM SPRAY NEW & SEALED,Eau de Parfum,47.49,2.0,208.0,9877.92,woman,24-5-2024,United States,Texas,Houston
Calvin Klein,Narciso Rodriguez for Her 3.3 / 100ML EDP Perfume for Women New In Box,Eau de Parfum,32.0,10.0,87.0,2784.0,woman,07-5-2024,United States,New York,College Point
Paco Rabanne,Coach Wild Rose 3.0 oz EDP eau de parfum spray womens perfume 90 ml Tester,Eau de Parfum,31.5,10.0,287.0,9040.5,woman,15-5-2024,United States,New Jersey,Edison
Giorgio Armani,My Way by Giorgio Armani 3oz 90ml EDP Perfume for Women New In Box,Eau de Parfum,42.99,5.0,243.0,10446.57,woman,23-5-2024,United States,New York,College Point
Yves Saint Laurent,"Libre, Eau De Parfum Intense By Yves Saint Laurent 3oz for Women NEW",Eau de Parfum,98.99,3.0,56.0,5543.44,woman,24-4-2024,United States,Texas,Houston
Paco Rabanne,Flowerbomb by Viktor & Rolf 3.4 oz L'Eau de Parfum Spray Factory Sealed New,Eau de Parfum,42.0,4.0,404.0,16968.0,woman,23-5-2024,United States,California,Chico
Yves Saint Laurent,Kenzo Amour by Kenzo EDP For Women Spray 3.3 oz / 100 ml *NEW IN BOX*,Eau de Parfum,39.99,10.0,102.0,4078.98,woman,08-5-2024,United States,Florida,Miami
Dolce & Gabbana,Burberry Touch by Burberry 3.3 / 3.4 oz EDP Spray For Women Brand New Sealed,Eau de Parfum,27.99,10.0,87.0,2435.13,woman,23-5-2024,United States,Michigan,Warren
Carolina Herrera,Good Girl by Carolina Herrera 2.7 Fl oz Eau De Parfum Spray New & Sealed In Box,Eau de Parfum,42.99,2.0,130.0,5588.7,woman,24-5-2024,United States,California,Santa Cruz
Unbranded,Thierry Mugler Angel 1.7oz EDP Women's Perfume Spray New Sealed,Eau de Parfum,43.99,6.0,25.0,1099.75,woman,23-5-2024,United States,Michigan,Detroit
Versace,Versace Bright Crystal Eau De Toilette Rollerball Women 0.3 Oz/10 Ml,Eau de Toilette,15.49,10.0,1089.0,16868.61,woman,30-4-2024,United States,New Jersey,Keyport
Paco Rabanne,Lattafa Fakhar EDP Spray 3.4 oz / 100 ml for Men,Eau de Parfum,23.25,10.0,19.0,441.75,woman,24-5-2024,United States,New York,New York
Calvin Klein,"Be Delicious DKNY by Donna Karan, 8 oz Fragrance Mist for Women",Eau de Parfum,16.26,10.0,110.0,1788.6,woman,24-5-2024,United States,New Jersey,Edison
Yves Saint Laurent,Yves Saint Laurent Libre Eau De Parfum  3.0 oz / 90 ml for Women,Eau de Parfum,49.68,10.0,25.0,1242.0,woman,22-5-2024,United States,California,Sacramento
Dolce & Gabbana,Gucci Flora Gorgeous Gardenia 3.3oz Women's Eau de Toilette Spray New Sealed Box,Eau de Toilette,49.99,4.0,41.0,2049.59,woman,23-5-2024,United States,California,El Monte
Dolce & Gabbana,Dolce & Gabbana Light Blue 3.3 /3.4 oz Women’s Eau de Toilette Spray NEW,Eau de Toilette,27.9,2.0,118.0,3292.2,woman,22-5-2024,United States,Michigan,Warren
Yves Saint Laurent,New Yves Saint Laurent Libre Eau De Parfum EDP Spray for Women 3.0 fl oz/90 ml！,Eau de Parfum,49.99,5.0,15.0,749.85,woman,23-5-2024,United States,Texas,Houston
Carolina Herrera,VIVA LA JUICY GOLD COUTURE by Juicy Couture Women 3.3 / 3.4 oz EDP New in Box,Eau de Parfum,36.79,68.0,1498.0,55111.42,woman,24-5-2024,United States,Texas,Dallas
Carolina Herrera,Daisy Eau So Fresh Perfume by Marc Jacobs 4.2 oz EDT Spray for Women. Sealed Box,Eau de Toilette,39.99,10.0,1129.0,45148.71,woman,24-5-2024,United States,Michigan,Lincoln Park
Carolina Herrera,Carolina Herrera Very Good Girl 2.7 oz Daring Floral EDP New,Eau de Parfum,55.99,6.0,193.0,10806.07,woman,23-5-2024,United States,Michigan,Macomb
Giorgio Armani,My Way by Giorgio Armani 3 oz EDP Perfume for Women New In Box,Eau de Parfum,42.98,10.0,29.0,1246.42,woman,07-5-2024,United States,New York,College Point
Dolce & Gabbana,Jo Malone London Cologne Spray Travel Size 9ml/0.3oz **Choose Your Scent** NEW,Eau de Cologne,15.98,10.0,40.0,639.2,woman,24-5-2024,United States,Texas,Houston
Versace,Elizabeth Arden White Tea Fragrance Collection Set for Women - 3Pc Mini Gift Set,Eau de Parfum,19.45,50.0,2.0,38.9,woman,24-5-2024,United States,New York,Ronkonkoma
Calvin Klein,Narciso Rodriguez for Her 3.3 fl oz / 100 ml EDP New Sealed Free Shipping,Eau de Parfum,31.0,4.0,266.0,8246.0,woman,23-5-2024,United States,New York,Bethpage
Dolce & Gabbana,Urban Outfitters Le Monde  Gourmand Eau De Parfum Fraise Fouettee 070 1oz.,Eau de Parfum,24.99,9.0,9.0,224.91,woman,20-5-2024,United States,Georgia,Kennesaw
Lancôme,Glacier Bold EDP Perfume By Maison Alhambra Lattafa 100 M 💯 (Le Beau Le Perfume,Eau de Parfum,34.0,10.0,45.0,1530.0,woman,18-5-2024,United States,New York,Astoria
Yves Saint Laurent,"ALT Fragrances - Crystal No. 23 EDP (Inspired by Baccarat Rouge 540), 2 oz",Eau de Parfum,49.0,10.0,443.0,21707.0,woman,24-5-2024,United States,California,Van Nuys
Lancôme,"Estee Lauder Cinnabar Eau De Parfum Spray, 1.7 oz / 50 ml Perfume, NWOB",Eau de Parfum,54.99,10.0,17.0,934.83,woman,13-3-2024,United States,Texas,Richmond
Dolce & Gabbana,Victoria's Secret Very Sexy Women's Perfume EDP 3.4 oz 100 ml New Sealed,Eau de Parfum,30.99,10.0,302.0,9358.98,woman,24-5-2024,United States,Kentucky,Flat Lick
Versace,KIM KARDASHIAN GOLD Perfume 3.3 / 3.4 oz EDP For Women NEW IN BOX,Eau de Parfum,16.63,37.0,528.0,8780.64,woman,14-5-2024,United States,Texas,Dallas
Unbranded,Angel Standing Star Thierry Mugler 3.3 oz EDP Refillable Perfume for Women NIB,Eau de Parfum,60.0,10.0,256.0,15360.0,woman,22-5-2024,United States,Michigan,Hamtramck
Paco Rabanne,Flowerbomb by Viktor & Rolf EDP for Women 50 ml - 1.7 oz  *NEW IN SEALED BOX*,Eau de Parfum,42.99,10.0,155.0,6663.45,woman,25-3-2024,United States,Florida,Miami
Ralph Lauren,AMOR AMOR by Cacharel Perfume for women 3.3 oz / 3.4 oz edt New,Eau de Toilette,25.27,106.0,539.0,13620.53,woman,21-5-2024,United States,Texas,Dallas
Dolce & Gabbana,Dolce & Gabbana Light Blue  3.3 oz / 3.4 oz EDT Spray for Women Brand New Sealed,Eau de Toilette,29.9,10.0,327.0,9777.3,woman,24-5-2024,United States,Michigan,Walled Lake
Versace,Versace Bright Crystal Eau De Toilette Spray 6.7 oz Factory Sealed Free Shipping,Eau de Toilette,41.5,3.0,255.0,10582.5,woman,24-5-2024,United States,California,San Jose
Unbranded,"Ariana Grande Cloud Pink - Charming 3.4oz Eau de Parfum, Sealed",Eau de Parfum,29.99,9.0,57.0,1709.43,woman,22-5-2024,United States,Michigan,Dearborn Heights
Carolina Herrera,Daisy Eau So Fresh by Marc Jacobs for Women EDT Spray 4.2 oz / 125 ml New In Box,Eau de Toilette,30.79,3.0,493.0,15179.47,woman,23-5-2024,United States,New York,Jamaica
Yves Saint Laurent,Mon Paris by Yves Saint Laurent 3 fl oz/90 ml EDP Spray for Women New & Sealed,Eau de Parfum,39.99,10.0,66.0,2639.34,woman,21-5-2024,United States,Michigan,Saint Clair Shores
Versace,Valentine Milano For Women Perfume 3.4 fl.oz from Fragrance Couture.,Eau de Parfum,10.99,10.0,94.0,1033.06,woman,08-5-2024,United States,Texas,Katy
Giorgio Armani,New Si by Giorgio Armani 3.4 oz / 100 mL EDP Perfume for Women - USA,Eau de Parfum,37.88,8.0,108.0,4091.04,woman,24-5-2024,United States,New York,College Point
Dolce & Gabbana,Light Blue 3.3 oz by Dolce & Gabbana EDT Perfume for Women New In Box & SEALED,Eau de Toilette,30.95,8.0,245.0,7582.75,woman,24-5-2024,United States,Alabama,Sterrett
Unbranded,ILLICIT FLOWER by Jimmy Choo for women EDT 3.3 / 3.4 oz New Tester,Eau de Toilette,25.23,8.0,909.0,22934.07,woman,23-5-2024,United States,Texas,Dallas
Dolce & Gabbana,VICTORIA'S SECRET Bombshell Seduction Fine Fragrance Mist 8.4 fl oz - NEW,Fragrances,18.5,6.0,23.0,425.5,woman,21-5-2024,United States,Illinois,Lisle
Versace,SHI by Alfred Sung Perfume for Women EDP 3.3 / 3.4 oz New In Box Sealed,Eau de Parfum,20.45,110.0,4308.0,88098.6,woman,24-5-2024,United States,Texas,Dallas
Versace,VANDERBILT by Gloria 3.4 oz 3.3 edt for Women Perfume  New Box Seal,Eau de Toilette,12.78,149.0,10268.0,131225.04,woman,23-5-2024,United States,Texas,Dallas
Unbranded,Ariana Grande Cloud 2.0 Intense Eau De Parfum - 3.4 Oz  100 mL New & Sealed,Eau de Parfum,33.99,9.0,89.0,3025.11,woman,24-5-2024,United States,Nevada,Las Vegas
Dolce & Gabbana,Dolce & Gabbana Light Blue Women 3.4 fl oz 100 ML Eau de Toilette NEW SEALED BOX,Eau de Toilette,29.99,8.0,187.0,5608.13,woman,24-5-2024,United States,North Carolina,Durham
Versace,Cabotine De Gres by Parfums 3.3 / 3.4 oz EDT Perfume For Women NEW IN BOX,Eau de Toilette,14.75,183.0,1999.0,29485.25,woman,23-5-2024,United States,Texas,Dallas
Unbranded,JIMMY CHOO by Jimmy Choo 3.3 / 3.4 oz Spray EDT for Women NEW IN BOX,Eau de Toilette,33.52,131.0,2846.0,95397.92,woman,21-5-2024,United States,Texas,Dallas
Lancôme,"La Vie Est Belle by Lancome 3.4 Oz – Women's L'eau De Parfum, Sealed Freshness",Eau de Parfum,49.99,5.0,127.0,6348.73,woman,21-5-2024,United States,Michigan,Dearborn
Unbranded,ANGEL Thierry Mugler Eau De parfum Spray Women's 3.4 oz / 100 ml New Sealed Box,Eau de Parfum,44.99,8.0,232.0,10437.68,woman,24-5-2024,United States,Nevada,Las Vegas
Unbranded,Cloud by Ariana Grande 3.4 oz / 100 ML EDP Perfume for Women New In Box Sealed,Eau de Parfum,33.8,8.0,303.0,10241.4,woman,21-5-2024,United States,New Jersey,Sayreville
Paco Rabanne,Fakhar by Lattafa 3.4 oz / 100 ml EDP Spray for Men,Eau de Parfum,22.99,10.0,8.0,183.92,woman,24-5-2024,United States,New York,New York
Paco Rabanne,J'adore 3.4 oz/100 ml Eau De Parfum EDP Women Spray Gift For Her New & Sealed US,Eau de Parfum,49.99,8.0,22.0,1099.78,woman,23-5-2024,Hong Kong,New Jersey,USA
Versace,Forever Elizabeth by Elizabeth Taylor 3.4 oz Spray edp 3.3 Perfume NEW in Box,Eau de Parfum,17.89,71.0,5263.0,94155.07,woman,20-5-2024,United States,Texas,Dallas
