ID_cliente,Genero,Edad,Pareja,Dependientes,Año,Mes,Dia,Antiguedad(meses)
7590-VHVEG,Mujer,45,Sí,No,2023,4,20,1
5575-GNVDE,Hombre,54,No,No,2023,2,21,34
3668-QPYBK,Hombre,71,No,No,2024,8,28,2
7795-CFOCW,Hombre,75,No,No,2024,3,19,45
9237-HQITU,Mujer,23,No,No,2023,6,7,2
9305-CDSKC,Mujer,40,No,No,2023,1,7,8
1452-KIOVK,Hombre,47,No,Sí,2023,3,28,22
6713-OKOMC,Mujer,51,No,No,2023,7,25,10
7892-POOKP,Mujer,62,Sí,No,2023,2,23,28
6388-TABGU,Hombre,59,No,,2023,12,1,62
9763-GRSKD,Hombre,44,,Sí,2023,9,22,13
7469-LKBCI,Hombre,44,No,No,2023,6,29,16
8091-TTVAX,Hombre,58,Sí,No,2024,4,9,58
0280-XJGEX,Hombre,73,No,No,2023,8,15,49
5129-JLPIS,Hombre,25,No,No,2024,7,9,25
3655-SNQYZ,Mujer,63,Sí,Sí,2024,2,21,69
8191-XWSZG,Mujer,24,No,No,2024,7,22,52
9959-WOFKT,Hombre,63,No,,2024,2,19,71
4190-MFLUW,Mujer,68,Sí,Sí,2023,2,19,10
4183-MYFRB,Mujer,71,No,,2023,3,1,21
8779-QRDMV,Hombre,63,No,No,2024,6,10,1
1680-VDCWW,Hombre,28,Sí,No,2023,12,4,12
1066-JKSGK,Hombre,40,No,No,2024,8,16,1
3638-WEABW,Mujer,32,Sí,No,2023,5,1,58
6322-HRPFA,Hombre,29,Sí,Sí,2024,2,1,49
6865-JZNKO,Mujer,36,No,No,2023,10,25,30
6467-CHFZW,Hombre,42,Sí,Sí,2023,8,7,47
8665-UTDHZ,Hombre,66,Sí,Sí,2023,2,10,1
5248-YGIJN,Hombre,28,Sí,No,2023,3,15,72
8773-HHUOZ,Mujer,39,No,Sí,2023,6,26,17
3841-NFECX,Mujer,74,Sí,No,2024,1,20,71
4929-XIHVW,Hombre,22,Sí,No,2024,4,13,2
6827-IEAUQ,Mujer,58,Sí,Sí,2023,9,21,27
7310-EGVHZ,Hombre,34,No,No,2024,6,24,1
3413-BMNZE,Hombre,71,No,No,2024,8,8,1
6234-RAAPL,Mujer,39,Sí,Sí,2024,2,7,72
6047-YHPVI,Hombre,31,No,No,2023,11,4,5
6572-ADKRS,Mujer,23,No,No,2024,1,30,46
5380-WJKOV,Hombre,27,No,,2023,5,15,34
8168-UQWWF,Mujer,58,No,No,2023,3,23,11
8865-TNMNX,Hombre,41,Sí,Sí,2023,9,10,10
9489-DEDVP,Mujer,29,Sí,Sí,2023,12,19,70
9867-JCZSP,Mujer,40,Sí,Sí,2023,7,24,17
4671-VJLCL,Mujer,57,No,No,2024,8,31,63
4080-IIARD,Mujer,33,Sí,No,2023,6,28,13
3714-NTNFO,Mujer,74,No,No,2023,7,8,49
5948-UJZLF,Hombre,25,No,No,2023,3,2,2
7760-OYPDY,Mujer,23,No,No,2023,2,28,2
7639-LIAYI,Hombre,63,No,No,2024,7,17,52
2954-PIBKO,Mujer,53,Sí,,2023,1,31,69
8012-SOUDQ,Mujer,32,No,No,2024,2,24,43
9420-LOJKX,Mujer,23,No,No,2023,12,31,15
6575-SUVOI,Mujer,71,Sí,No,2023,9,23,25
7495-OOKFY,Mujer,28,Sí,No,2023,8,30,8
4667-QONEA,Mujer,62,Sí,Sí,2023,1,31,60
1658-BYGOY,Hombre,74,No,No,2024,5,23,18
8769-KKTPH,Mujer,42,,Sí,2023,7,9,63
5067-XJQFU,Hombre,29,Sí,Sí,2024,4,22,66
3957-SQXML,Mujer,50,Sí,Sí,2023,10,3,34
5954-BDFSG,Mujer,52,No,No,2023,8,17,72
0434-CSFON,Mujer,66,Sí,No,2023,4,8,47
1215-FIGMP,Hombre,57,No,No,2023,8,9,60
0526-SXDJP,Hombre,55,Sí,No,2024,3,31,72
0557-ASKVU,Mujer,47,Sí,Sí,2023,5,1,18
5698-BQJOH,Mujer,52,No,No,2023,5,30,9
5122-CYFXA,Mujer,20,No,No,2023,2,10,3
8627-ZYGSZ,Hombre,28,Sí,No,2023,1,9,47
3410-YOQBQ,Mujer,29,No,No,2024,6,26,31
3170-NMYVV,Mujer,62,Sí,Sí,2024,7,29,50
7410-OIEDU,Hombre,56,No,No,2023,12,2,10
2273-QCKXA,Hombre,51,No,No,2023,11,27,1
0731-EBJQB,Mujer,30,Sí,Sí,2023,7,25,52
1891-QRQSA,Hombre,39,Sí,Sí,2024,5,21,64
8028-PNXHQ,Hombre,73,Sí,Sí,2024,1,21,62
5630-AHZIL,Mujer,39,,Sí,2024,3,6,3
2673-CXQEU,Mujer,72,No,No,2024,6,23,56
6416-JNVRK,Mujer,44,No,No,2023,1,4,46
5590-ZSKRV,Mujer,57,Sí,Sí,2024,2,23,8
0191-ZHSKZ,Hombre,63,No,No,2023,9,1,30
3887-PBQAO,Mujer,60,Sí,Sí,2023,9,30,45
5919-TMRGD,Mujer,22,No,Sí,2023,10,23,1
8108-UXRQN,Mujer,37,Sí,Sí,2023,9,8,11
9191-MYQKX,Mujer,48,Sí,No,2023,7,31,7
9919-YLNNG,Mujer,47,No,No,2023,6,4,42
0318-ZOPWS,Mujer,50,Sí,No,2023,9,14,49
4445-ZJNMU,Hombre,74,No,No,2023,3,14,9
4808-YNLEU,Mujer,53,Sí,No,2024,6,3,35
1862-QRWPE,Mujer,69,Sí,Sí,2023,12,8,48
2796-NNUFI,Mujer,64,,Sí,2023,8,29,46
3016-KSVCP,Hombre,34,Sí,No,2023,5,7,29
4767-HZZHQ,Hombre,59,Sí,,2023,2,6,30
2424-WVHPL,Hombre,44,No,No,2024,1,13,1
7233-PAHHL,Hombre,42,Sí,Sí,2023,5,2,66
6067-NGCEU,Mujer,27,No,No,2024,3,5,65
9848-JQJTX,Hombre,40,No,No,2024,7,10,72
8637-XJIVR,Mujer,41,No,No,2023,11,4,12
9803-FTJCG,Hombre,36,Sí,Sí,2024,8,11,71
0278-YXOOG,Hombre,56,No,No,2023,4,10,5
3212-KXOCR,Hombre,25,No,No,2023,5,1,52
4598-XLKNJ,Mujer,38,,No,2024,4,10,25
6380-ARCEH,Hombre,70,No,No,2024,8,5,1
3679-XASPY,Mujer,69,Sí,Sí,2023,3,16,1
7123-WQUHX,Hombre,32,No,No,2023,1,6,38
5386-THSLQ,Mujer,27,Sí,No,2024,6,21,66
3192-NQECA,Hombre,20,,No,2023,11,20,68
6180-YBIQI,Hombre,29,No,No,2024,8,4,5
6728-DKUCO,Mujer,23,Sí,Sí,2024,5,3,72
9750-BOOHV,Mujer,64,No,No,2023,1,29,32
8597-CWYHH,Hombre,58,No,No,2023,7,4,43
2848-YXSMW,Hombre,73,Sí,Sí,2023,11,26,72
0486-HECZI,Hombre,58,Sí,No,2023,10,22,55
4549-ZDQYY,Mujer,67,No,,2024,8,25,52
5712-AHQNN,Mujer,60,,No,2023,4,23,43
4846-WHAFZ,Mujer,26,Sí,No,2023,4,1,37
5256-SKJGO,Mujer,50,Sí,Sí,2023,9,3,64
3071-VBYPO,Hombre,38,Sí,Sí,2023,12,4,3
9560-BBZXK,Mujer,28,No,No,2024,5,5,36
5299-RULOA,Mujer,66,Sí,Sí,2023,7,27,10
