ID_cliente,Servicio_telefonico,Lineas_multiples,Servicio_internet,Seguridad_en_linea,Copia_seguridad,Proteccion_dispositivo,Soporte_tecnico,Streaming_TV,Streaming_peliculas
7590-VHVEG,No,Sin servicio telefónico,DSL,No,Sí,No,No,No,No
5575-GNVDE,Sí,No,DSL,Sí,No,Sí,No,No,No
3668-QPYBK,Sí,No,DSL,Sí,Sí,No,No,No,No
7795-CFOCW,No,Sin servicio telefónico,DSL,Sí,No,Sí,Sí,No,No
9237-HQITU,Sí,No,Fibra óptica,No,No,No,No,No,No
9305-CDSKC,Sí,Sí,Fibra óptica,No,No,Sí,No,Sí,Sí
1452-KIOVK,Sí,Sí,Fibra óptica,No,Sí,No,No,Sí,No
6713-OKOMC,No,Sin servicio telefónico,DSL,Sí,No,No,No,No,No
7892-POOKP,Sí,Sí,Fibra óptica,No,No,Sí,Sí,Sí,Sí
6388-TABGU,Sí,No,DSL,Sí,Sí,No,No,No,No
9763-GRSKD,Sí,No,DSL,Sí,No,No,No,No,No
7469-LKBCI,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
8091-TTVAX,Sí,Sí,Fibra óptica,No,No,Sí,No,Sí,Sí
0280-XJGEX,Sí,Sí,Fibra óptica,No,Sí,Sí,No,Sí,Sí
5129-JLPIS,Sí,No,Fibra óptica,Sí,No,Sí,Sí,Sí,Sí
3655-SNQYZ,Sí,Sí,Fibra óptica,Sí,Sí,Sí,Sí,Sí,Sí
8191-XWSZG,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
9959-WOFKT,Sí,Sí,Fibra óptica,Sí,No,Sí,No,Sí,Sí
4190-MFLUW,Sí,No,DSL,No,No,Sí,Sí,No,No
4183-MYFRB,Sí,No,Fibra óptica,No,Sí,Sí,No,No,Sí
8779-QRDMV,No,Sin servicio telefónico,DSL,No,No,Sí,No,No,Sí
1680-VDCWW,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
1066-JKSGK,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
3638-WEABW,Sí,Sí,DSL,No,Sí,No,Sí,No,No
6322-HRPFA,Sí,No,DSL,Sí,Sí,No,Sí,No,No
6865-JZNKO,Sí,No,DSL,Sí,Sí,No,No,No,No
6467-CHFZW,Sí,Sí,Fibra óptica,No,Sí,No,No,Sí,Sí
8665-UTDHZ,No,Sin servicio telefónico,DSL,No,Sí,No,No,No,No
5248-YGIJN,Sí,Sí,DSL,Sí,Sí,Sí,Sí,Sí,Sí
8773-HHUOZ,Sí,No,DSL,No,No,No,No,Sí,Sí
3841-NFECX,Sí,Sí,Fibra óptica,Sí,Sí,Sí,Sí,No,No
4929-XIHVW,Sí,No,Fibra óptica,No,No,Sí,No,Sí,Sí
6827-IEAUQ,Sí,No,DSL,Sí,Sí,Sí,Sí,No,No
7310-EGVHZ,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
3413-BMNZE,Sí,No,DSL,No,No,No,No,No,No
6234-RAAPL,Sí,Sí,Fibra óptica,Sí,Sí,No,Sí,Sí,No
6047-YHPVI,Sí,No,Fibra óptica,No,No,No,No,No,No
6572-ADKRS,Sí,No,Fibra óptica,No,No,Sí,No,No,No
5380-WJKOV,Sí,Sí,Fibra óptica,No,Sí,Sí,No,Sí,Sí
8168-UQWWF,Sí,Sí,Fibra óptica,No,No,Sí,No,Sí,Sí
8865-TNMNX,Sí,No,DSL,No,Sí,No,No,No,No
9489-DEDVP,Sí,Sí,DSL,Sí,Sí,No,No,Sí,No
9867-JCZSP,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
4671-VJLCL,Sí,Sí,DSL,Sí,Sí,Sí,Sí,Sí,No
4080-IIARD,Sí,Sí,DSL,Sí,Sí,No,Sí,Sí,No
3714-NTNFO,Sí,Sí,Fibra óptica,No,No,No,No,No,Sí
5948-UJZLF,Sí,No,DSL,No,Sí,No,No,No,No
7760-OYPDY,Sí,No,Fibra óptica,No,No,No,No,Sí,No
7639-LIAYI,Sí,Sí,DSL,Sí,No,No,Sí,Sí,Sí
2954-PIBKO,Sí,Sí,DSL,Sí,No,Sí,Sí,No,No
8012-SOUDQ,Sí,Sí,Fibra óptica,No,Sí,No,No,Sí,No
9420-LOJKX,Sí,No,Fibra óptica,Sí,Sí,No,No,Sí,Sí
6575-SUVOI,Sí,Sí,DSL,Sí,No,No,Sí,Sí,No
7495-OOKFY,Sí,Sí,Fibra óptica,No,Sí,No,No,No,No
4667-QONEA,Sí,No,DSL,Sí,Sí,Sí,Sí,No,Sí
1658-BYGOY,Sí,Sí,Fibra óptica,No,No,No,No,Sí,Sí
8769-KKTPH,Sí,Sí,Fibra óptica,Sí,No,No,No,Sí,Sí
5067-XJQFU,Sí,Sí,Fibra óptica,No,Sí,Sí,Sí,Sí,Sí
3957-SQXML,Sí,Sí,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
5954-BDFSG,Sí,Sí,Fibra óptica,No,No,Sí,Sí,Sí,Sí
0434-CSFON,Sí,Sí,Fibra óptica,No,No,Sí,No,Sí,Sí
1215-FIGMP,Sí,Sí,Fibra óptica,No,Sí,No,No,Sí,No
0526-SXDJP,No,Sin servicio telefónico,DSL,Sí,Sí,Sí,No,No,No
0557-ASKVU,Sí,No,DSL,No,No,Sí,Sí,No,No
5698-BQJOH,Sí,Sí,Fibra óptica,No,No,No,No,Sí,Sí
5122-CYFXA,Sí,No,DSL,No,Sí,No,Sí,Sí,Sí
8627-ZYGSZ,Sí,Sí,Fibra óptica,No,Sí,No,No,No,No
3410-YOQBQ,Sí,No,DSL,No,Sí,Sí,Sí,Sí,Sí
3170-NMYVV,Sí,No,No,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet,Sin servicio de internet
7410-OIEDU,Sí,No,Fibra óptica,Sí,No,Sí,No,No,No
2273-QCKXA,Sí,No,DSL,No,No,No,Sí,No,No
