ID_cliente,Contrato,Facturacion_electronica,Metodo_pago,Cargos_mensuales,Cargos_totales,Abandono
7590-VHVEG,Mes a mes,Sí,Cheque electrónico,29.85,29.85,No
5575-GNVDE,Un año,No,Cheque por correo,56.95,1889.5,No
3668-QPYBK,Mes a mes,Sí,Cheque por correo,53.85,108.15,Sí
7795-CFOCW,Un año,No,Transferencia bancaria (automática),42.3,1840.75,No
9237-HQITU,Mes a mes,Sí,Cheque electrónico,70.7,151.65,Sí
9305-CDSKC,Mes a mes,Sí,Cheque electrónico,99.65,820.5,Sí
1452-KIOVK,Mes a mes,Sí,Tarjeta de crédito (automática),89.1,1949.4,No
6713-OKOMC,Mes a mes,No,Cheque por correo,29.75,301.9,No
7892-POOKP,Mes a mes,Sí,Cheque electrónico,104.8,3046.05,Sí
6388-TABGU,Un año,No,Transferencia bancaria (automática),56.15,3487.95,No
9763-GRSKD,Mes a mes,Sí,Cheque por correo,49.95,587.45,No
7469-LKBCI,Dos años,No,Tarjeta de crédito (automática),18.95,326.8,No
8091-TTVAX,Un año,No,Tarjeta de crédito (automática),100.35,5681.1,No
0280-XJGEX,Mes a mes,Sí,Transferencia bancaria (automática),103.7,5036.3,Sí
5129-JLPIS,Mes a mes,Sí,Cheque electrónico,105.5,2686.05,No
3655-SNQYZ,Dos años,No,Tarjeta de crédito (automática),113.25,7895.15,No
8191-XWSZG,Un año,No,Cheque por correo,20.65,1022.95,No
9959-WOFKT,Dos años,No,Transferencia bancaria (automática),106.7,7382.25,No
4190-MFLUW,Mes a mes,No,Tarjeta de crédito (automática),55.2,528.35,Sí
4183-MYFRB,Mes a mes,Sí,Cheque electrónico,90.05,1862.9,No
8779-QRDMV,Mes a mes,Sí,Cheque electrónico,39.65,39.65,Sí
1680-VDCWW,Un año,No,Transferencia bancaria (automática),19.8,202.25,No
1066-JKSGK,Mes a mes,No,Cheque por correo,20.15,20.15,Sí
3638-WEABW,Dos años,Sí,Tarjeta de crédito (automática),59.9,3505.1,No
6322-HRPFA,Mes a mes,No,Tarjeta de crédito (automática),59.6,2970.3,No
6865-JZNKO,Mes a mes,Sí,Transferencia bancaria (automática),55.3,1530.6,No
6467-CHFZW,Mes a mes,Sí,Cheque electrónico,99.35,4749.15,Sí
8665-UTDHZ,Mes a mes,No,Cheque electrónico,30.2,30.2,Sí
5248-YGIJN,Dos años,Sí,Tarjeta de crédito (automática),90.25,6369.45,No
8773-HHUOZ,Mes a mes,Sí,Cheque por correo,64.7,1093.1,Sí
3841-NFECX,Dos años,Sí,Tarjeta de crédito (automática),96.35,6766.95,No
4929-XIHVW,Mes a mes,Sí,Tarjeta de crédito (automática),95.5,181.65,No
6827-IEAUQ,Un año,No,Cheque por correo,66.15,1874.45,No
7310-EGVHZ,Mes a mes,No,Transferencia bancaria (automática),20.2,20.2,No
3413-BMNZE,Mes a mes,No,Transferencia bancaria (automática),45.25,45.25,No
6234-RAAPL,Dos años,No,Transferencia bancaria (automática),99.9,7251.7,No
6047-YHPVI,Mes a mes,Sí,Cheque electrónico,69.7,316.9,Sí
6572-ADKRS,Mes a mes,Sí,Tarjeta de crédito (automática),74.8,3548.3,No
5380-WJKOV,Mes a mes,Sí,Cheque electrónico,106.35,3549.25,Sí
8168-UQWWF,Mes a mes,Sí,Transferencia bancaria (automática),97.85,1105.4,Sí
8865-TNMNX,Un año,No,Cheque por correo,49.55,475.7,No
9489-DEDVP,Dos años,Sí,Tarjeta de crédito (automática),69.2,4872.35,No
9867-JCZSP,Un año,No,Cheque por correo,20.75,418.25,No
4671-VJLCL,Dos años,Sí,Tarjeta de crédito (automática),79.85,4861.45,No
